Timestamp,Incident_Severity,Incident_Type,Region_Type,Traffic_Congestion,Weather_Condition,Drone_Availability,Ambulance_Availability,Battery_Life,Air_Traffic,Response_Time,Hospital_Capacity,Distance_to_Incident,Number_of_Injuries,Specialist_Availability,Road_Type,Emergency_Level,Drone_Speed,Ambulance_Speed,Payload_Weight,Fuel_Level,Weather_Impact,Dispatch_Coordinator,Label,Year,Month,Month_Name,DayOfWeek,Hour,Shift
2022-04-30 04:10:00,High,Other,Urban,Moderate,Clear,Unavailable,Available,86.15877942555325,Low,14.9827253059296,13,43.13,2,Unavailable,Unpaved Road,Major,44.505616278135165,47.11660991937537,5.42,79.24735491446043,None,Human,Ambulance Only,2022,4,Apr,Saturday,4,Overnight (22:00-06:00)
2019-06-29 15:10:00,Medium,Accident,Urban,Low,Clear,Available,Available,85.26940715359937,Low,16.45588859169514,88,41.29,2,Available,Highway,Minor,48.24426957652249,46.602734818929534,5.58,47.47991299959955,Moderate,Human,Drone Only,2019,6,Jun,Saturday,15,Evening (14:00-22:00)
2020-11-30 01:10:00,High,Other,Urban,Moderate,Clear,Available,Unavailable,89.90959709640484,Low,13.107814723123305,82,33.71,1,Available,Local Road,Major,70.88859973732824,26.923546232680277,2.97,69.78151151309709,None,Human,Ambulance Only,2020,11,Nov,Monday,1,Overnight (22:00-06:00)
2019-01-25 13:10:00,Low,Accident,Urban,High,Rainy,Unavailable,Available,59.81469927914807,Low,5.0,69,49.1,1,Unavailable,Highway,Minor,61.31260742551228,36.14821660034919,6.76,43.55834261221924,Moderate,Human,Ambulance Only,2019,1,Jan,Friday,13,Day (06:00-14:00)
2020-05-25 08:50:00,Low,Accident,Suburban,Moderate,Rainy,Available,Available,99.42550456011097,Low,14.104970832684629,86,19.74,1,Available,Local Road,Critical,57.698888321197046,30.538140483202117,1.15,68.27573224279587,Moderate,Human,Ambulance Only,2020,5,May,Monday,8,Day (06:00-14:00)
2023-01-31 17:20:00,Low,Fire,Urban,Moderate,Clear,Available,Available,81.87805470512896,Low,9.862516132728432,41,49.83,2,Unavailable,Local Road,Minor,49.06779465624207,41.70427538271833,5.29,91.00044283641932,None,Human,Ambulance Only,2023,1,Jan,Tuesday,17,Evening (14:00-22:00)
2020-01-28 22:30:00,Medium,Accident,Rural,Moderate,Clear,Available,Available,66.46982667115869,Low,9.996716124276093,88,42.63,3,Available,Local Road,Major,58.5548728978432,54.03607998857535,7.84,80.6613880630497,None,Human,Ambulance Only,2020,1,Jan,Tuesday,22,Overnight (22:00-06:00)
2023-01-10 19:20:00,Medium,Accident,Suburban,Moderate,Clear,Available,Available,70.16463694744463,Low,10.251310533789091,16,48.03,2,Available,Highway,Critical,62.06676198197388,41.78312842691732,4.23,79.60521990052953,None,Human,Ambulance Only,2023,1,Jan,Tuesday,19,Evening (14:00-22:00)
2024-09-29 19:20:00,Low,Accident,Urban,Low,Clear,Available,Available,77.73819351533822,High,16.2469475962226,98,12.68,1,Unavailable,Highway,Minor,60.84300765604313,50.34067726481807,6.75,71.72809134660683,None,Human,Ambulance Only,2024,9,Sep,Sunday,19,Evening (14:00-22:00)
2023-11-24 04:30:00,Medium,Other,Urban,Low,Clear,Available,Available,100.0,Low,18.40683316785379,70,23.34,1,Available,Highway,Minor,52.20773461470152,42.34111234723435,1.51,85.20056191023568,Moderate,Human,Ambulance Only,2023,11,Nov,Friday,4,Overnight (22:00-06:00)
2023-10-11 14:00:00,Low,Other,Urban,Low,Rainy,Available,Available,73.12165698762342,Low,24.773073945101316,10,21.78,1,Available,Highway,Critical,67.35513143341305,37.31704875372064,5.94,63.21596131899419,None,AI,Drone Only,2023,10,Oct,Wednesday,14,Evening (14:00-22:00)
2019-07-13 22:50:00,Medium,Accident,Suburban,Low,Clear,Available,Available,80.11306401794431,Low,24.871102187131456,91,20.51,3,Available,Unpaved Road,Minor,54.13697339293388,46.8334231580595,5.17,50.30226448991566,Moderate,AI,Drone Only,2019,7,Jul,Saturday,22,Overnight (22:00-06:00)
2019-10-04 02:20:00,Low,Cardiac Arrest,Urban,High,Clear,Available,Available,82.33330495901514,Medium,9.017149528115477,46,43.14,1,Unavailable,Highway,Minor,58.50914131799336,34.622658009262715,8.58,88.44173285880431,None,AI,Drone Only,2019,10,Oct,Friday,2,Overnight (22:00-06:00)
2019-06-28 19:10:00,High,Accident,Urban,High,Clear,Unavailable,Available,81.094722403902,Low,12.294313478671556,36,10.96,1,Available,Local Road,Minor,59.62532158785268,43.02190078783262,2.25,56.528129469390834,None,Human,Drone Only,2019,6,Jun,Friday,19,Evening (14:00-22:00)
2018-02-05 15:20:00,Low,Other,Urban,Low,Clear,Available,Available,75.89560490113402,Medium,21.94118854003996,64,28.4,3,Unavailable,Highway,Critical,44.61930059452677,28.754890659392,9.67,72.45747266696134,None,AI,Ambulance Only,2018,2,Feb,Monday,15,Evening (14:00-22:00)
2019-10-02 15:30:00,Medium,Accident,Urban,High,Clear,Available,Available,77.88495327471463,Medium,12.333221980430649,73,11.43,2,Unavailable,Highway,Major,58.46182849310209,41.575771810771215,2.57,67.68911393745749,None,Human,Drone Only,2019,10,Oct,Wednesday,15,Evening (14:00-22:00)
2022-02-18 14:00:00,Medium,Cardiac Arrest,Rural,Moderate,Clear,Unavailable,Available,67.38413160508769,Medium,18.886041554262857,94,25.03,1,Unavailable,Highway,Minor,57.71872096513293,40.52628649904238,6.32,72.24924680347708,Moderate,AI,Hybrid Dispatch,2022,2,Feb,Friday,14,Evening (14:00-22:00)
2020-11-11 07:40:00,Low,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,87.60866174731883,Low,9.378065536421136,91,25.64,1,Available,Highway,Minor,64.14956614129831,45.25098582084418,7.26,63.20738371053558,Moderate,AI,Ambulance Only,2020,11,Nov,Wednesday,7,Day (06:00-14:00)
2024-11-24 03:30:00,High,Accident,Urban,Low,Clear,Available,Available,64.59241236843616,Medium,10.485124143319712,79,16.65,1,Unavailable,Highway,Minor,43.6767807196521,56.12739861117226,2.93,70.18867648593896,Moderate,Human,Drone Only,2024,11,Nov,Sunday,3,Overnight (22:00-06:00)
2018-01-23 12:10:00,Low,Accident,Suburban,Low,Clear,Unavailable,Available,93.91194364845477,Low,21.154657933416864,44,31.72,1,Unavailable,Highway,Minor,60.79674435290305,29.05117690369302,8.36,34.521774272751394,None,Human,Hybrid Dispatch,2018,1,Jan,Tuesday,12,Day (06:00-14:00)
2022-09-01 14:10:00,Low,Accident,Urban,Moderate,Rainy,Unavailable,Available,78.23799781692738,Medium,5.0,34,44.81,1,Available,Highway,Minor,61.8340591789435,30.445111247803,5.82,46.15204790013532,Moderate,Human,Ambulance Only,2022,9,Sep,Thursday,14,Evening (14:00-22:00)
2022-03-30 12:00:00,Low,Cardiac Arrest,Suburban,Moderate,Rainy,Unavailable,Available,68.738733859008,Medium,6.020461394866508,93,42.45,2,Available,Highway,Minor,51.16275266767964,31.138678846624053,8.04,52.8800244721343,None,Human,Hybrid Dispatch,2022,3,Mar,Wednesday,12,Day (06:00-14:00)
2020-01-28 16:30:00,Medium,Accident,Suburban,Low,Rainy,Available,Available,87.69861417496476,Low,11.21733078417948,48,38.13,2,Available,Unpaved Road,Minor,45.07447707763809,27.55616173762993,9.76,66.8974239021191,None,Human,Ambulance Only,2020,1,Jan,Tuesday,16,Evening (14:00-22:00)
2022-08-31 04:10:00,Medium,Accident,Urban,Low,Clear,Unavailable,Available,81.86069768286697,Low,17.305601793691952,15,35.98,1,Available,Unpaved Road,Critical,78.78245236491338,38.35356817489367,3.11,72.50515279416693,None,Human,Drone Only,2022,8,Aug,Wednesday,4,Overnight (22:00-06:00)
2021-10-01 14:20:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,82.7633485727249,Medium,18.594640091858004,23,20.89,1,Unavailable,Highway,Minor,64.01198225232046,49.13370754283902,7.06,64.66792364005103,None,Human,Drone Only,2021,10,Oct,Friday,14,Evening (14:00-22:00)
2024-07-31 19:20:00,Low,Cardiac Arrest,Urban,Moderate,Rainy,Unavailable,Unavailable,75.7518368022802,Low,15.23018632365518,83,35.6,1,Unavailable,Highway,Minor,62.94338235032874,51.03394139057884,4.94,87.98745310385591,None,AI,Drone Only,2024,7,Jul,Wednesday,19,Evening (14:00-22:00)
2023-02-26 00:00:00,Medium,Accident,Suburban,Moderate,Rainy,Available,Available,100.0,High,11.749147937222295,51,13.98,1,Unavailable,Local Road,Minor,67.27006144439447,36.82154769227339,5.55,58.04690578241951,None,Human,Ambulance Only,2023,2,Feb,Sunday,0,Overnight (22:00-06:00)
2018-06-09 05:30:00,Low,Other,Urban,High,Clear,Available,Available,74.86336072188911,Low,15.904060659971512,75,14.03,2,Available,Highway,Minor,89.49420969214029,25.807822615837807,3.42,75.38517875978378,Moderate,Human,Drone Only,2018,6,Jun,Saturday,5,Overnight (22:00-06:00)
2023-01-12 08:30:00,Low,Cardiac Arrest,Urban,Moderate,Clear,Unavailable,Available,67.11119347792487,Medium,13.720889319490938,91,10.52,1,Available,Highway,Minor,56.50732694919962,41.4928270526813,5.27,58.62790716653572,None,AI,Ambulance Only,2023,1,Jan,Thursday,8,Day (06:00-14:00)
2024-03-01 19:20:00,Low,Accident,Urban,Low,Clear,Available,Available,73.10275042271007,Low,16.493994665962433,67,38.98,1,Available,Unpaved Road,Minor,59.34577471360093,46.25040147110258,6.87,60.09858177752263,None,Human,Drone Only,2024,3,Mar,Friday,19,Evening (14:00-22:00)
2024-03-23 15:10:00,Medium,Fire,Urban,Moderate,Clear,Available,Unavailable,75.33512784910745,Low,11.24732215854488,66,10.52,1,Unavailable,Highway,Major,50.687558768893766,45.58333763967042,6.41,78.15997355639716,None,Human,Ambulance Only,2024,3,Mar,Saturday,15,Evening (14:00-22:00)
2021-12-20 08:10:00,Medium,Accident,Urban,Low,Clear,Unavailable,Unavailable,87.43219699548776,Low,14.597946721547412,86,7.16,1,Unavailable,Highway,Major,51.807967471359646,44.24543329584841,7.13,67.73922588381689,None,AI,Ambulance Only,2021,12,Dec,Monday,8,Day (06:00-14:00)
2019-11-30 14:40:00,Medium,Accident,Urban,Low,Clear,Available,Available,79.46530734380885,Low,18.131768624269966,95,7.24,3,Available,Highway,Minor,48.51621299104596,44.35052901311084,3.8,51.83893321644339,Moderate,Human,Drone Only,2019,11,Nov,Saturday,14,Evening (14:00-22:00)
2021-07-31 05:20:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,83.0703388700283,Medium,17.21037718886832,60,41.95,1,Unavailable,Local Road,Minor,67.74574897177474,43.64848692445604,9.7,100.0,None,Human,Hybrid Dispatch,2021,7,Jul,Saturday,5,Overnight (22:00-06:00)
2024-12-03 10:50:00,Low,Accident,Urban,Low,Clear,Unavailable,Available,86.53588817320293,Low,13.358798434947106,29,20.32,2,Unavailable,Local Road,Major,69.3918689572476,36.19762620522378,6.2,67.10772095849444,Severe,AI,Hybrid Dispatch,2024,12,Dec,Tuesday,10,Day (06:00-14:00)
2020-06-04 05:30:00,Low,Accident,Urban,Low,Rainy,Unavailable,Available,83.25103309271881,Low,10.915385242803511,78,6.66,1,Available,Highway,Minor,70.27250824338824,57.11660036917851,5.69,70.37776086270836,Moderate,Human,Hybrid Dispatch,2020,6,Jun,Thursday,5,Overnight (22:00-06:00)
2022-12-03 17:30:00,Low,Fire,Urban,Low,Rainy,Unavailable,Available,78.62245625811414,High,18.887821728372444,20,42.39,2,Unavailable,Local Road,Critical,65.14537701458318,34.72827657731162,2.36,82.1595476589773,None,Human,Drone Only,2022,12,Dec,Saturday,17,Evening (14:00-22:00)
2024-12-06 12:30:00,Low,Accident,Urban,Moderate,Rainy,Available,Available,69.80434688184542,Medium,16.31975474674207,96,34.17,1,Unavailable,Local Road,Minor,63.2112222504583,41.87729107650348,8.38,89.9831060567468,None,Human,Ambulance Only,2024,12,Dec,Friday,12,Day (06:00-14:00)
2022-08-20 06:30:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,88.45875840521933,Low,15.14249425226676,43,35.11,1,Available,Local Road,Minor,70.015439609714,61.83345751607146,9.74,100.0,None,Human,Ambulance Only,2022,8,Aug,Saturday,6,Day (06:00-14:00)
2023-12-20 10:50:00,High,Accident,Suburban,Low,Clear,Available,Available,75.34938566347682,Medium,13.6842135468334,52,41.68,1,Unavailable,Highway,Minor,42.95040314031346,33.8111248916849,2.32,61.40654509914215,None,AI,Drone Only,2023,12,Dec,Wednesday,10,Day (06:00-14:00)
2019-12-08 14:10:00,Low,Accident,Urban,Moderate,Clear,Available,Available,96.82705158029728,Low,15.409853455583098,72,12.46,2,Available,Local Road,Minor,57.34963932856165,58.0204382461425,9.83,44.56342312365193,None,AI,Drone Only,2019,12,Dec,Sunday,14,Evening (14:00-22:00)
2018-09-05 06:20:00,Low,Accident,Suburban,Moderate,Rainy,Available,Available,79.21530906192854,Medium,19.54677247197746,23,28.02,1,Available,Highway,Critical,70.03829517725082,47.93008539250397,1.26,100.0,Moderate,Human,Ambulance Only,2018,9,Sep,Wednesday,6,Day (06:00-14:00)
2019-08-08 20:30:00,Low,Other,Suburban,High,Clear,Unavailable,Available,86.06288805531953,Low,12.96911050174966,99,35.91,1,Available,Local Road,Minor,61.72728382807025,45.90121793284595,3.64,62.41045641866221,None,Human,Ambulance Only,2019,8,Aug,Thursday,20,Evening (14:00-22:00)
2019-07-13 11:00:00,Low,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,63.67232010800935,Medium,13.918726214127968,95,35.35,1,Available,Highway,Minor,70.51797506367465,38.58011661247589,0.98,77.57204274546716,None,Human,Ambulance Only,2019,7,Jul,Saturday,11,Day (06:00-14:00)
2022-02-07 21:50:00,Medium,Accident,Suburban,High,Clear,Available,Available,66.2288569636182,Medium,15.26373431782871,12,37.46,2,Available,Local Road,Critical,58.9117082835392,34.35217326191994,0.99,80.16163811947503,None,Human,Drone Only,2022,2,Feb,Monday,21,Evening (14:00-22:00)
2023-04-21 21:20:00,High,Other,Urban,Moderate,Clear,Available,Available,81.86322561952602,Low,23.02431598973869,81,14.12,1,Unavailable,Highway,Critical,56.40307158445219,26.22909804662262,2.29,83.99770044592937,Moderate,Human,Drone Only,2023,4,Apr,Friday,21,Evening (14:00-22:00)
2022-08-26 01:50:00,Low,Accident,Urban,Low,Clear,Available,Available,79.72468504626347,Low,14.379298574222275,27,5.58,2,Unavailable,Highway,Minor,61.10328476236351,41.72424393988276,0.6,90.87869118193336,None,Human,Drone Only,2022,8,Aug,Friday,1,Overnight (22:00-06:00)
2024-07-06 16:20:00,High,Other,Urban,Low,Clear,Available,Available,69.81004926458766,Low,15.528392132840109,26,36.39,1,Available,Highway,Minor,48.618521737944086,49.506258144420414,7.34,60.665288281537016,None,Human,Ambulance Only,2024,7,Jul,Saturday,16,Evening (14:00-22:00)
2020-09-02 20:40:00,High,Cardiac Arrest,Rural,Low,Clear,Available,Available,85.44787485400661,Medium,18.65642737593887,10,19.05,3,Available,Local Road,Minor,59.730823141229386,38.22984507064216,0.57,78.36138096535913,None,Human,Hybrid Dispatch,2020,9,Sep,Wednesday,20,Evening (14:00-22:00)
2019-05-27 02:20:00,Low,Other,Urban,Low,Clear,Unavailable,Available,81.5773955234813,Low,19.02205697195497,35,36.07,1,Unavailable,Highway,Critical,51.98023572329984,34.97152140822382,6.88,64.68715703062186,None,Human,Ambulance Only,2019,5,May,Monday,2,Overnight (22:00-06:00)
2018-05-19 10:10:00,Low,Accident,Urban,High,Stormy,Available,Unavailable,68.85963212785565,Low,12.874678447385325,57,6.52,1,Available,Highway,Minor,86.58768467518115,27.307943619356774,1.52,40.531355839880575,None,Human,Drone Only,2018,5,May,Saturday,10,Day (06:00-14:00)
2019-01-29 09:10:00,Medium,Other,Urban,Low,Rainy,Available,Unavailable,86.31653181033421,Low,11.235508285579405,50,11.77,1,Available,Highway,Minor,66.27151245329563,36.48007524967779,7.85,89.50192234407521,Severe,Human,Ambulance Only,2019,1,Jan,Tuesday,9,Day (06:00-14:00)
2020-10-27 18:10:00,Low,Accident,Urban,Moderate,Clear,Available,Available,74.8594937040565,Low,12.602506832955058,63,17.06,2,Unavailable,Local Road,Minor,60.097323613705086,32.4607969063991,9.85,64.97485042409758,None,AI,Ambulance Only,2020,10,Oct,Tuesday,18,Evening (14:00-22:00)
2019-11-14 05:20:00,Low,Cardiac Arrest,Suburban,High,Stormy,Available,Available,72.19983189728664,Low,17.9961165588375,12,40.41,2,Available,Local Road,Minor,52.97603369011056,37.754920644489474,3.95,34.271842025442666,Moderate,Human,Drone Only,2019,11,Nov,Thursday,5,Overnight (22:00-06:00)
2023-06-15 19:00:00,Low,Other,Rural,Moderate,Clear,Unavailable,Available,75.2382251472172,Low,12.464769289061962,40,22.87,3,Unavailable,Highway,Critical,63.888300174090425,33.946483192058345,7.34,73.94615923580925,None,Human,Ambulance Only,2023,6,Jun,Thursday,19,Evening (14:00-22:00)
2019-09-18 03:20:00,Low,Accident,Urban,Low,Clear,Available,Available,72.92494505242665,High,15.84028662802482,68,12.58,1,Unavailable,Highway,Minor,80.5298418480082,48.35902492683088,4.33,66.94574625176917,Moderate,Human,Ambulance Only,2019,9,Sep,Wednesday,3,Overnight (22:00-06:00)
2021-10-22 19:50:00,Low,Accident,Urban,Low,Clear,Available,Unavailable,88.21700899145685,Low,5.0,43,6.23,1,Unavailable,Highway,Major,56.70655686235173,48.25980796796322,4.14,79.51585401761494,None,Human,Drone Only,2021,10,Oct,Friday,19,Evening (14:00-22:00)
2018-09-18 12:10:00,Low,Fire,Urban,Moderate,Clear,Unavailable,Available,64.77087715622721,Medium,9.583546561033264,51,22.84,2,Unavailable,Highway,Minor,66.69249963158856,34.52049095566872,7.2,78.56898222428285,None,AI,Ambulance Only,2018,9,Sep,Tuesday,12,Day (06:00-14:00)
2023-11-30 14:00:00,Medium,Accident,Rural,Low,Clear,Available,Available,81.8502948263554,Low,19.827229980110275,14,18.44,3,Unavailable,Local Road,Minor,60.558737468919176,38.88428031058408,9.91,66.22526319242746,Moderate,Human,Drone Only,2023,11,Nov,Thursday,14,Evening (14:00-22:00)
2024-10-04 18:00:00,Medium,Accident,Suburban,Moderate,Clear,Available,Available,86.17541854341941,Low,7.264294606966587,31,7.68,2,Unavailable,Highway,Minor,61.30046685943756,37.04497868066346,4.49,80.53652383855567,None,Human,Drone Only,2024,10,Oct,Friday,18,Evening (14:00-22:00)
2020-06-04 20:10:00,Low,Cardiac Arrest,Suburban,Moderate,Clear,Available,Available,97.17064544763224,Medium,15.311421521086498,20,47.27,2,Available,Highway,Minor,69.01847716082285,45.48758016738405,7.98,63.21405913635523,None,Human,Drone Only,2020,6,Jun,Thursday,20,Evening (14:00-22:00)
2023-02-01 17:00:00,Medium,Fire,Urban,Low,Rainy,Available,Available,73.57900773790415,Low,15.886187044067544,65,39.37,1,Unavailable,Highway,Major,53.90543749006928,38.6545658583795,7.65,79.13419077176196,None,Human,Ambulance Only,2023,2,Feb,Wednesday,17,Evening (14:00-22:00)
2021-02-26 14:30:00,Low,Other,Urban,Low,Rainy,Unavailable,Available,68.82644536078976,Medium,10.858497789542822,60,22.45,3,Unavailable,Highway,Minor,62.707376241452366,57.41157394931447,6.15,60.087644749303294,Moderate,AI,Ambulance Only,2021,2,Feb,Friday,14,Evening (14:00-22:00)
2018-10-31 14:00:00,High,Other,Urban,High,Clear,Available,Available,86.81720054201136,Medium,12.90733260146107,56,4.52,2,Available,Highway,Minor,36.27145563696945,35.02181301840153,9.34,53.53633887068382,None,Human,Drone Only,2018,10,Oct,Wednesday,14,Evening (14:00-22:00)
2024-07-30 23:50:00,Medium,Cardiac Arrest,Suburban,Moderate,Clear,Available,Available,71.66887221153458,High,17.890898022725413,49,23.46,2,Unavailable,Local Road,Minor,68.18507304220294,52.55207931298142,2.15,69.83279442827124,Moderate,AI,Ambulance Only,2024,7,Jul,Tuesday,23,Overnight (22:00-06:00)
2022-02-12 16:30:00,Low,Accident,Urban,Moderate,Clear,Available,Available,70.67008487650006,High,18.218966340850727,82,16.08,1,Available,Unpaved Road,Minor,51.92118778243234,27.39427034257298,4.6,85.99656768273606,None,Human,Ambulance Only,2022,2,Feb,Saturday,16,Evening (14:00-22:00)
2022-03-25 11:50:00,Low,Other,Suburban,Moderate,Clear,Available,Available,68.23545788733485,Low,9.048125838871714,34,12.51,1,Available,Unpaved Road,Minor,72.53389007112942,49.44139635205251,2.65,54.64304526579924,None,Human,Hybrid Dispatch,2022,3,Mar,Friday,11,Day (06:00-14:00)
2024-06-15 03:50:00,Low,Accident,Urban,Moderate,Clear,Available,Available,86.78275739584635,Low,16.636259731024616,30,40.55,2,Unavailable,Highway,Minor,70.11211742094827,48.05851328044255,4.95,51.3955671609339,None,AI,Drone Only,2024,6,Jun,Saturday,3,Overnight (22:00-06:00)
2022-01-09 18:00:00,Low,Other,Suburban,Low,Clear,Available,Available,68.67305244608733,Low,18.78105845201872,89,21.71,2,Unavailable,Highway,Major,52.621814389747264,35.17294226092855,5.4,50.37861944029359,None,Human,Drone Only,2022,1,Jan,Sunday,18,Evening (14:00-22:00)
2021-11-27 18:00:00,Low,Cardiac Arrest,Urban,Moderate,Clear,Available,Available,68.16239060379878,Low,24.99887955024237,88,12.38,1,Unavailable,Local Road,Minor,46.96093230879801,32.996195398913336,9.55,58.33436778038034,None,Human,Ambulance Only,2021,11,Nov,Saturday,18,Evening (14:00-22:00)
2024-09-02 16:50:00,Medium,Accident,Rural,Low,Clear,Unavailable,Available,94.0237897250549,Low,17.094225865683935,35,45.29,2,Available,Highway,Minor,64.75541418361487,36.5834487827238,6.45,41.76907929323653,None,Human,Ambulance Only,2024,9,Sep,Monday,16,Evening (14:00-22:00)
2023-12-17 16:50:00,Low,Accident,Urban,Moderate,Clear,Available,Available,64.83970083850771,Medium,7.800697257810568,37,13.66,4,Available,Local Road,Minor,59.70153055047293,50.24496209649507,1.57,58.18191026771422,None,Human,Drone Only,2023,12,Dec,Sunday,16,Evening (14:00-22:00)
2024-11-07 14:10:00,Low,Cardiac Arrest,Suburban,Moderate,Clear,Available,Available,79.82713130428387,Low,14.394174763843376,58,21.19,1,Unavailable,Local Road,Critical,57.64407162864953,43.78462310070441,2.11,62.01513691943879,None,Human,Drone Only,2024,11,Nov,Thursday,14,Evening (14:00-22:00)
2023-12-30 19:00:00,Low,Fire,Rural,Low,Clear,Unavailable,Available,72.2681945859213,Medium,12.057126714035268,27,46.55,2,Unavailable,Local Road,Minor,75.30308000037729,37.35046804945157,2.07,73.74651370146509,None,Human,Hybrid Dispatch,2023,12,Dec,Saturday,19,Evening (14:00-22:00)
2023-11-19 20:30:00,Low,Accident,Urban,Low,Clear,Unavailable,Available,79.1445344572892,Low,16.96822781937302,86,14.34,1,Available,Highway,Minor,73.70181409206594,47.29789675499136,1.22,98.61492124974998,Moderate,Human,Ambulance Only,2023,11,Nov,Sunday,20,Evening (14:00-22:00)
2018-08-31 12:10:00,Medium,Accident,Rural,Low,Clear,Available,Available,76.96427647971879,High,6.492892848860356,58,3.67,1,Unavailable,Highway,Major,60.454788168502695,39.10275655192196,9.75,57.55826773314998,None,Human,Drone Only,2018,8,Aug,Friday,12,Day (06:00-14:00)
