YearMonth,Region_Type,Incident_Type,Incident_Count,Avg_Response_Time
2018-10,Rural,Accident,220,15.460807583291595
2018-10,Rural,Cardiac Arrest,100,14.523944967066402
2018-10,Rural,Fire,41,15.209538356673686
2018-10,Rural,Other,96,14.96218368472424
2018-10,Suburban,Accident,465,15.053179726809962
2018-10,Suburban,Cardiac Arrest,174,15.066360371185343
2018-10,Suburban,Fire,105,14.882116348413064
2018-10,Suburban,Other,181,15.542080763872496
2018-10,Urban,Accident,1588,15.049203901930236
2018-10,Urban,Cardiac Arrest,588,15.205322963991938
2018-10,Urban,Fire,305,15.130110278489454
2018-10,Urban,Other,601,14.793869716081234
2018-11,Rural,Accident,200,14.434543110518147
2018-11,Rural,Cardiac Arrest,102,14.968440805642658
2018-11,Rural,Fire,52,15.37688511707351
2018-11,Rural,Other,68,14.997723266110002
2018-11,Suburban,Accident,421,15.182709055997085
2018-11,Suburban,Cardiac Arrest,189,15.30194551319597
2018-11,Suburban,Fire,79,15.520518007577186
2018-11,Suburban,Other,180,14.798121870723346
2018-11,Urban,Accident,1549,15.009777959542687
2018-11,Urban,Cardiac Arrest,576,14.998194628592886
2018-11,Urban,Fire,304,14.916904227795227
2018-11,Urban,Other,600,15.14693099286061
2018-12,Rural,Accident,211,14.697778656986442
2018-12,Rural,Cardiac Arrest,100,14.58608844488816
2018-12,Rural,Fire,35,15.424093005280396
2018-12,Rural,Other,90,14.062408139707143
2018-12,Suburban,Accident,448,15.492701799608449
2018-12,Suburban,Cardiac Arrest,163,15.94131194998896
2018-12,Suburban,Fire,85,15.625557439558074
2018-12,Suburban,Other,196,15.520786389630182
2018-12,Urban,Accident,1562,15.142509125334003
2018-12,Urban,Cardiac Arrest,650,14.89857889959967
2018-12,Urban,Fire,303,14.910299269907323
2018-12,Urban,Other,621,14.447267837638101
2019-01,Rural,Accident,226,15.100940279065394
2019-01,Rural,Cardiac Arrest,89,15.081242606710497
2019-01,Rural,Fire,41,15.243551040818522
2019-01,Rural,Other,101,14.96525142329062
2019-01,Suburban,Accident,449,15.150307787007074
2019-01,Suburban,Cardiac Arrest,166,15.257331371369608
2019-01,Suburban,Fire,87,15.282627839314832
2019-01,Suburban,Other,166,15.044145218234966
2019-01,Urban,Accident,1586,15.16189424741091
2019-01,Urban,Cardiac Arrest,633,14.779384037553156
2019-01,Urban,Fire,294,15.042503090621679
2019-01,Urban,Other,626,15.29716572576818
2019-02,Rural,Accident,206,15.61466209656896
2019-02,Rural,Cardiac Arrest,89,15.482798601580924
2019-02,Rural,Fire,35,16.34872642450763
2019-02,Rural,Other,87,14.560964266492906
2019-02,Suburban,Accident,410,15.450031895127685
2019-02,Suburban,Cardiac Arrest,143,15.158717671253958
2019-02,Suburban,Fire,83,13.889205692946572
2019-02,Suburban,Other,156,15.177498562916213
2019-02,Urban,Accident,1426,14.984815325026439
2019-02,Urban,Cardiac Arrest,568,14.710427120170145
2019-02,Urban,Fire,270,15.203891960446324
2019-02,Urban,Other,559,14.971900143765202
2019-03,Rural,Accident,212,14.973318459598701
2019-03,Rural,Cardiac Arrest,88,15.593508439251567
2019-03,Rural,Fire,32,15.028874460901195
2019-03,Rural,Other,90,14.783193385955544
2019-03,Suburban,Accident,474,15.223394544792743
2019-03,Suburban,Cardiac Arrest,181,14.9820802647785
2019-03,Suburban,Fire,89,14.736921585141593
2019-03,Suburban,Other,170,14.795290472838103
2019-03,Urban,Accident,1539,15.24796457445042
2019-03,Urban,Cardiac Arrest,624,15.170197640405178
2019-03,Urban,Fire,295,14.664228462375723
2019-03,Urban,Other,670,15.234177194717637
2019-04,Rural,Accident,214,14.843548274037891
2019-04,Rural,Cardiac Arrest,90,14.585599190616573
2019-04,Rural,Fire,56,15.741005718353346
2019-04,Rural,Other,89,15.260508116431916
2019-04,Suburban,Accident,444,14.85472048501356
2019-04,Suburban,Cardiac Arrest,168,15.409708070099756
2019-04,Suburban,Fire,87,14.383372875983053
2019-04,Suburban,Other,187,15.178811070778105
2019-04,Urban,Accident,1485,15.02119670896793
2019-04,Urban,Cardiac Arrest,618,14.74864239845603
2019-04,Urban,Fire,297,14.671035604924459
2019-04,Urban,Other,585,14.69492033680822
2019-05,Rural,Accident,234,15.636511450112199
2019-05,Rural,Cardiac Arrest,93,15.614871737899414
2019-05,Rural,Fire,58,16.29164168950882
2019-05,Rural,Other,77,15.425097457869015
2019-05,Suburban,Accident,423,15.236685891917388
2019-05,Suburban,Cardiac Arrest,182,15.585689008406177
2019-05,Suburban,Fire,98,13.979547434848433
2019-05,Suburban,Other,184,15.48137852671957
2019-05,Urban,Accident,1540,15.08180708316539
2019-05,Urban,Cardiac Arrest,619,15.113705338947446
2019-05,Urban,Fire,305,14.67912614573045
2019-05,Urban,Other,651,14.887919572106416
2019-06,Rural,Accident,207,15.233848231879414
2019-06,Rural,Cardiac Arrest,91,15.160345402836564
2019-06,Rural,Fire,36,15.255845475269986
2019-06,Rural,Other,79,16.048450683056004
2019-06,Suburban,Accident,458,15.213308493300195
2019-06,Suburban,Cardiac Arrest,165,14.900044448060346
2019-06,Suburban,Fire,94,15.699331380818025
2019-06,Suburban,Other,188,14.890792399871502
2019-06,Urban,Accident,1484,14.974047802851315
2019-06,Urban,Cardiac Arrest,605,14.999112169448066
2019-06,Urban,Fire,309,15.147917634334714
2019-06,Urban,Other,604,14.905350186848631
2019-07,Rural,Accident,208,15.661279101632726
2019-07,Rural,Cardiac Arrest,86,14.15546382079463
2019-07,Rural,Fire,50,15.398555636399358
2019-07,Rural,Other,78,15.460183702555204
2019-07,Suburban,Accident,460,15.041963569973555
2019-07,Suburban,Cardiac Arrest,193,14.84479039249027
2019-07,Suburban,Fire,108,15.276197020384382
2019-07,Suburban,Other,182,15.11755194246541
2019-07,Urban,Accident,1525,15.153925326945583
2019-07,Urban,Cardiac Arrest,644,14.78375128965326
2019-07,Urban,Fire,302,14.86612234223294
2019-07,Urban,Other,628,15.451737490998283
2019-08,Rural,Accident,227,15.019067366016136
2019-08,Rural,Cardiac Arrest,85,15.312714052976684
2019-08,Rural,Fire,46,15.11509178624895
2019-08,Rural,Other,92,14.539792268344279
2019-08,Suburban,Accident,436,15.31136074424887
2019-08,Suburban,Cardiac Arrest,155,15.802843422995428
2019-08,Suburban,Fire,78,14.688875346195651
2019-08,Suburban,Other,184,14.88184582890886
2019-08,Urban,Accident,1639,15.031655749843162
2019-08,Urban,Cardiac Arrest,641,14.91716886228256
2019-08,Urban,Fire,303,15.101407170150205
2019-08,Urban,Other,578,14.856016736374555
2019-09,Rural,Accident,196,15.430090599576017
2019-09,Rural,Cardiac Arrest,88,15.756538192000859
2019-09,Rural,Fire,33,15.208808939616091
2019-09,Rural,Other,94,14.850770311083076
2019-09,Suburban,Accident,424,14.94510746920892
2019-09,Suburban,Cardiac Arrest,168,15.132625301094782
2019-09,Suburban,Fire,84,14.541728737083096
2019-09,Suburban,Other,161,15.209161983737996
2019-09,Urban,Accident,1528,15.188678227569198
2019-09,Urban,Cardiac Arrest,640,15.321205993809297
2019-09,Urban,Fire,303,14.874929377834816
2019-09,Urban,Other,601,15.193857182113323
2019-10,Rural,Accident,240,15.131647254648145
2019-10,Rural,Cardiac Arrest,84,14.8914395539836
2019-10,Rural,Fire,48,14.515036482739616
2019-10,Rural,Other,81,14.79222085092589
2019-10,Suburban,Accident,461,14.852540878012679
2019-10,Suburban,Cardiac Arrest,159,15.035311368265393
2019-10,Suburban,Fire,84,14.724407557428497
2019-10,Suburban,Other,172,14.888340388075134
2019-10,Urban,Accident,1518,15.41076629472026
2019-10,Urban,Cardiac Arrest,656,14.842836037854717
2019-10,Urban,Fire,315,14.85985509275168
2019-10,Urban,Other,646,15.066432429199656
2019-11,Rural,Accident,218,15.564774534061867
2019-11,Rural,Cardiac Arrest,88,15.045924550411927
2019-11,Rural,Fire,46,14.628226326295701
2019-11,Rural,Other,91,15.371804759407906
2019-11,Suburban,Accident,434,15.060316702162742
2019-11,Suburban,Cardiac Arrest,197,15.264304472275345
2019-11,Suburban,Fire,72,15.305178383510404
2019-11,Suburban,Other,174,15.642561522267599
2019-11,Urban,Accident,1483,15.004133545166257
2019-11,Urban,Cardiac Arrest,653,14.907539279270932
2019-11,Urban,Fire,275,15.154904061989063
2019-11,Urban,Other,589,15.122825834747305
2019-12,Rural,Accident,228,15.072879676120333
2019-12,Rural,Cardiac Arrest,90,15.357961264143713
2019-12,Rural,Fire,34,15.767818237341901
2019-12,Rural,Other,80,15.130221320319361
2019-12,Suburban,Accident,444,15.424725178862843
2019-12,Suburban,Cardiac Arrest,181,14.84117757740702
2019-12,Suburban,Fire,92,15.24209805851714
2019-12,Suburban,Other,178,14.70569238176144
2019-12,Urban,Accident,1531,15.154960035923416
2019-12,Urban,Cardiac Arrest,626,14.645037686884079
2019-12,Urban,Fire,342,15.26097232936942
2019-12,Urban,Other,638,14.876842119481031
2020-01,Rural,Accident,237,14.82207954184251
2020-01,Rural,Cardiac Arrest,95,14.52441334349135
2020-01,Rural,Fire,41,14.675022681733932
2020-01,Rural,Other,75,14.028573541879208
2020-01,Suburban,Accident,445,15.802371112743971
2020-01,Suburban,Cardiac Arrest,175,15.61725509840842
2020-01,Suburban,Fire,85,15.096140464914601
2020-01,Suburban,Other,157,15.452384797092558
2020-01,Urban,Accident,1603,15.211959576464926
2020-01,Urban,Cardiac Arrest,637,15.084895225401532
2020-01,Urban,Fire,313,15.286454085577956
2020-01,Urban,Other,601,14.922914222946494
2020-02,Rural,Accident,205,15.082932004611418
2020-02,Rural,Cardiac Arrest,81,15.09539705702107
2020-02,Rural,Fire,45,15.32741093936487
2020-02,Rural,Other,86,15.308301516972431
2020-02,Suburban,Accident,432,15.182603305704529
2020-02,Suburban,Cardiac Arrest,180,14.44482730793557
2020-02,Suburban,Fire,71,15.136259397996886
2020-02,Suburban,Other,153,15.056168054969206
2020-02,Urban,Accident,1456,14.959183691736905
2020-02,Urban,Cardiac Arrest,590,14.865141012513956
2020-02,Urban,Fire,288,15.129179017834433
2020-02,Urban,Other,589,15.061332133257563
2020-03,Rural,Accident,249,14.683502277009246
2020-03,Rural,Cardiac Arrest,89,14.131482410663128
2020-03,Rural,Fire,44,16.268661873235768
2020-03,Rural,Other,81,15.130630357052198
2020-03,Suburban,Accident,451,15.118448238205085
2020-03,Suburban,Cardiac Arrest,186,14.968404223487005
2020-03,Suburban,Fire,88,14.034930187032222
2020-03,Suburban,Other,178,15.381787324541635
2020-03,Urban,Accident,1524,14.84980311685203
2020-03,Urban,Cardiac Arrest,584,15.081633517204049
2020-03,Urban,Fire,344,15.038292168805798
2020-03,Urban,Other,646,14.970103324334325
2020-04,Rural,Accident,210,15.233396535388996
2020-04,Rural,Cardiac Arrest,78,15.584103491191744
2020-04,Rural,Fire,41,14.822976982378236
2020-04,Rural,Other,87,14.279743661598186
2020-04,Suburban,Accident,418,15.492390842228197
2020-04,Suburban,Cardiac Arrest,179,15.317392223249689
2020-04,Suburban,Fire,76,15.422563131717675
2020-04,Suburban,Other,171,14.970466703522282
2020-04,Urban,Accident,1541,14.976174329988272
2020-04,Urban,Cardiac Arrest,610,15.309213534794239
2020-04,Urban,Fire,321,15.074397777526896
2020-04,Urban,Other,588,14.93828440486257
2020-05,Rural,Accident,209,15.20841804377844
2020-05,Rural,Cardiac Arrest,83,15.557330064605695
2020-05,Rural,Fire,48,15.751792088228028
2020-05,Rural,Other,95,14.247143637053673
2020-05,Suburban,Accident,436,14.98313531365405
2020-05,Suburban,Cardiac Arrest,168,15.48106336835062
2020-05,Suburban,Fire,76,14.833694972216676
2020-05,Suburban,Other,189,15.088120063645551
2020-05,Urban,Accident,1610,15.305190921920504
2020-05,Urban,Cardiac Arrest,639,14.917529092590863
2020-05,Urban,Fire,293,14.975495275289974
2020-05,Urban,Other,618,15.069030628947313
2020-06,Rural,Accident,205,15.308996945194927
2020-06,Rural,Cardiac Arrest,83,14.204595228578027
2020-06,Rural,Fire,31,15.046815604827717
2020-06,Rural,Other,90,15.358819136390203
2020-06,Suburban,Accident,426,15.021860977038148
2020-06,Suburban,Cardiac Arrest,189,15.203978092631756
2020-06,Suburban,Fire,84,14.498915321688779
2020-06,Suburban,Other,193,15.39011129899329
2020-06,Urban,Accident,1531,15.108231043166624
2020-06,Urban,Cardiac Arrest,580,14.975618580184035
2020-06,Urban,Fire,326,14.921374995466726
2020-06,Urban,Other,582,15.235792968355584
2020-07,Rural,Accident,218,15.737953615722784
2020-07,Rural,Cardiac Arrest,87,14.601092671247
2020-07,Rural,Fire,54,16.39291475174141
2020-07,Rural,Other,87,14.241158653584877
2020-07,Suburban,Accident,486,14.62560589285431
2020-07,Suburban,Cardiac Arrest,169,15.470040184170426
2020-07,Suburban,Fire,89,14.977093297897245
2020-07,Suburban,Other,189,14.785813704805275
2020-07,Urban,Accident,1555,15.15946229664729
2020-07,Urban,Cardiac Arrest,619,14.819306517357935
2020-07,Urban,Fire,315,15.0025343703143
2020-07,Urban,Other,596,15.341709251869919
2020-08,Rural,Accident,250,15.116506855904372
2020-08,Rural,Cardiac Arrest,73,14.817639972777785
2020-08,Rural,Fire,35,14.821249288271956
2020-08,Rural,Other,97,14.535105557865888
2020-08,Suburban,Accident,490,14.941545080607582
2020-08,Suburban,Cardiac Arrest,157,15.466016534168817
2020-08,Suburban,Fire,97,14.63501017346861
2020-08,Suburban,Other,165,14.687963926954895
2020-08,Urban,Accident,1581,14.837712849693975
2020-08,Urban,Cardiac Arrest,583,15.21884121338591
2020-08,Urban,Fire,316,15.419365480788207
2020-08,Urban,Other,620,15.24098494757343
2020-09,Rural,Accident,210,15.28345801399872
2020-09,Rural,Cardiac Arrest,79,15.272613305300862
2020-09,Rural,Fire,41,14.65722718342653
2020-09,Rural,Other,87,14.708880594232975
2020-09,Suburban,Accident,429,15.224806737072443
2020-09,Suburban,Cardiac Arrest,171,14.95743251420999
2020-09,Suburban,Fire,88,14.108592547605912
2020-09,Suburban,Other,176,14.314312325424277
2020-09,Urban,Accident,1537,15.024508939287571
2020-09,Urban,Cardiac Arrest,584,15.198426355238556
2020-09,Urban,Fire,332,14.73606554889043
2020-09,Urban,Other,586,14.966890561913395
2020-10,Rural,Accident,212,14.92455634970438
2020-10,Rural,Cardiac Arrest,95,14.653061932043764
2020-10,Rural,Fire,44,14.844209453643776
2020-10,Rural,Other,88,15.018043881668786
2020-10,Suburban,Accident,407,15.092175094217849
2020-10,Suburban,Cardiac Arrest,169,14.758005855144452
2020-10,Suburban,Fire,88,14.02687226919428
2020-10,Suburban,Other,185,15.11850650792479
2020-10,Urban,Accident,1582,15.05641472103846
2020-10,Urban,Cardiac Arrest,639,15.21969430809334
2020-10,Urban,Fire,298,14.810101889587676
2020-10,Urban,Other,657,14.992237863369493
2020-11,Rural,Accident,221,14.117855740443776
2020-11,Rural,Cardiac Arrest,72,14.855133334817786
2020-11,Rural,Fire,54,15.945278838108969
2020-11,Rural,Other,85,15.478496344498566
2020-11,Suburban,Accident,417,15.067392633180523
2020-11,Suburban,Cardiac Arrest,175,14.529203923546822
2020-11,Suburban,Fire,88,14.622379935373816
2020-11,Suburban,Other,158,15.125681587583596
2020-11,Urban,Accident,1516,15.195351145153198
2020-11,Urban,Cardiac Arrest,574,14.978102361825597
2020-11,Urban,Fire,335,14.975588053882927
2020-11,Urban,Other,625,15.139670214925069
2020-12,Rural,Accident,216,15.175655660261375
2020-12,Rural,Cardiac Arrest,85,14.347123527564342
2020-12,Rural,Fire,50,15.27308403649893
2020-12,Rural,Other,77,14.834503979515038
2020-12,Suburban,Accident,455,15.017328685608131
2020-12,Suburban,Cardiac Arrest,192,14.550688305109803
2020-12,Suburban,Fire,89,14.766243968667567
2020-12,Suburban,Other,155,15.46337043483183
2020-12,Urban,Accident,1611,14.862784565788012
2020-12,Urban,Cardiac Arrest,607,15.105960889568264
2020-12,Urban,Fire,325,14.62102897144975
2020-12,Urban,Other,602,15.391154045882237
2021-01,Rural,Accident,237,15.067242351721774
2021-01,Rural,Cardiac Arrest,91,14.898053865932157
2021-01,Rural,Fire,44,13.858549113549389
2021-01,Rural,Other,78,15.554053788190632
2021-01,Suburban,Accident,422,14.77140730814789
2021-01,Suburban,Cardiac Arrest,174,14.47746018078509
2021-01,Suburban,Fire,84,15.360775186376477
2021-01,Suburban,Other,201,14.768632587410409
2021-01,Urban,Accident,1530,15.162549290549395
2021-01,Urban,Cardiac Arrest,683,14.903912968473906
2021-01,Urban,Fire,331,15.12431573667699
2021-01,Urban,Other,589,15.2909556916273
2021-02,Rural,Accident,190,15.375276017005607
2021-02,Rural,Cardiac Arrest,89,15.979695381363287
2021-02,Rural,Fire,51,14.624428895725757
2021-02,Rural,Other,84,14.499767483684263
2021-02,Suburban,Accident,384,14.870516689881292
2021-02,Suburban,Cardiac Arrest,171,14.888040441885934
2021-02,Suburban,Fire,77,14.94608516923087
2021-02,Suburban,Other,174,14.399198215421698
2021-02,Urban,Accident,1398,15.027921172160818
2021-02,Urban,Cardiac Arrest,579,14.898575058222898
2021-02,Urban,Fire,263,14.924357868690542
2021-02,Urban,Other,572,14.971564460517266
2021-03,Rural,Accident,217,14.514853336059359
2021-03,Rural,Cardiac Arrest,98,14.962335745539244
2021-03,Rural,Fire,46,14.534544234081265
2021-03,Rural,Other,101,14.968219323784375
2021-03,Suburban,Accident,446,15.294981238363816
2021-03,Suburban,Cardiac Arrest,167,14.58827366410097
2021-03,Suburban,Fire,86,14.749460959515263
2021-03,Suburban,Other,168,14.852210798814601
2021-03,Urban,Accident,1565,15.00715612157843
2021-03,Urban,Cardiac Arrest,643,14.936639055141054
2021-03,Urban,Fire,303,14.719350680859453
2021-03,Urban,Other,624,15.252706445639719
2021-04,Rural,Accident,207,14.991481564870238
2021-04,Rural,Cardiac Arrest,77,15.65366625132546
2021-04,Rural,Fire,39,15.76861745977225
2021-04,Rural,Other,80,15.514206269695581
2021-04,Suburban,Accident,413,15.165082015150213
2021-04,Suburban,Cardiac Arrest,168,15.273408915695038
2021-04,Suburban,Fire,89,14.612322205859908
2021-04,Suburban,Other,161,14.705636782957047
2021-04,Urban,Accident,1520,14.832049662647174
2021-04,Urban,Cardiac Arrest,615,14.640528595881579
2021-04,Urban,Fire,322,14.708435099577631
2021-04,Urban,Other,629,15.008648045946146
2021-05,Rural,Accident,225,15.116154692282706
2021-05,Rural,Cardiac Arrest,92,15.169920419804935
2021-05,Rural,Fire,46,14.973690391617065
2021-05,Rural,Other,90,15.081779866757266
2021-05,Suburban,Accident,483,15.493412313043944
2021-05,Suburban,Cardiac Arrest,184,15.303555878643591
2021-05,Suburban,Fire,85,15.212275505627165
2021-05,Suburban,Other,174,14.895063076336212
2021-05,Urban,Accident,1520,15.247100709627532
2021-05,Urban,Cardiac Arrest,613,14.826093585308262
2021-05,Urban,Fire,324,14.82740462357932
2021-05,Urban,Other,628,14.885521968302061
2021-06,Rural,Accident,218,14.893054775072452
2021-06,Rural,Cardiac Arrest,78,15.68701687050876
2021-06,Rural,Fire,52,15.70576447262947
2021-06,Rural,Other,83,15.16433414613311
2021-06,Suburban,Accident,432,14.824102704120703
2021-06,Suburban,Cardiac Arrest,172,15.468705973852657
2021-06,Suburban,Fire,77,13.811429457857662
2021-06,Suburban,Other,181,15.39376233218716
2021-06,Urban,Accident,1500,14.99628461894772
2021-06,Urban,Cardiac Arrest,599,14.913300258520827
2021-06,Urban,Fire,307,15.06272353372843
2021-06,Urban,Other,621,14.939003501201912
2021-07,Rural,Accident,224,14.860751583191755
2021-07,Rural,Cardiac Arrest,87,15.368129695745653
2021-07,Rural,Fire,44,14.540297700723647
2021-07,Rural,Other,100,15.52151822684767
2021-07,Suburban,Accident,467,14.93375612920606
2021-07,Suburban,Cardiac Arrest,174,14.58970252785071
2021-07,Suburban,Fire,93,15.289794836052863
2021-07,Suburban,Other,179,14.712335999854004
2021-07,Urban,Accident,1573,15.179535169213162
2021-07,Urban,Cardiac Arrest,630,15.231603767908332
2021-07,Urban,Fire,286,15.096974495549027
2021-07,Urban,Other,607,15.332659932535067
2021-08,Rural,Accident,222,14.7243689812481
2021-08,Rural,Cardiac Arrest,90,15.533216030607893
2021-08,Rural,Fire,42,15.844613138927933
2021-08,Rural,Other,103,14.03283807594481
2021-08,Suburban,Accident,457,14.957332978246537
2021-08,Suburban,Cardiac Arrest,166,15.471122950323378
2021-08,Suburban,Fire,78,14.909683956999766
2021-08,Suburban,Other,167,15.489531909207793
2021-08,Urban,Accident,1518,14.984077688288064
2021-08,Urban,Cardiac Arrest,621,15.095627308264964
2021-08,Urban,Fire,330,15.259757710767568
2021-08,Urban,Other,670,14.981726014079602
2021-09,Rural,Accident,201,14.771377370801774
2021-09,Rural,Cardiac Arrest,82,14.340261269747787
2021-09,Rural,Fire,55,14.762297771892385
2021-09,Rural,Other,87,16.055291861096507
2021-09,Suburban,Accident,431,15.399605373286207
2021-09,Suburban,Cardiac Arrest,183,15.330641122526089
2021-09,Suburban,Fire,81,15.049411203120762
2021-09,Suburban,Other,164,14.958252690800455
2021-09,Urban,Accident,1521,15.003786042538682
2021-09,Urban,Cardiac Arrest,652,15.110130068048553
2021-09,Urban,Fire,281,14.873035577194134
2021-09,Urban,Other,582,15.40483215066267
2021-10,Rural,Accident,204,15.885501357822513
2021-10,Rural,Cardiac Arrest,83,15.263873480636356
2021-10,Rural,Fire,36,15.270506941736336
2021-10,Rural,Other,82,14.89512631703453
2021-10,Suburban,Accident,443,15.039192942702043
2021-10,Suburban,Cardiac Arrest,194,14.82300887315554
2021-10,Suburban,Fire,88,14.750330300759613
2021-10,Suburban,Other,187,14.633011152259039
2021-10,Urban,Accident,1587,14.955503554508322
2021-10,Urban,Cardiac Arrest,587,15.394173845468568
2021-10,Urban,Fire,311,15.350773383919044
2021-10,Urban,Other,662,14.85360872383028
2021-11,Rural,Accident,219,14.846009704186072
2021-11,Rural,Cardiac Arrest,98,14.19747814526867
2021-11,Rural,Fire,51,16.603108503405252
2021-11,Rural,Other,88,15.371632195701194
2021-11,Suburban,Accident,441,15.153849594705106
2021-11,Suburban,Cardiac Arrest,188,14.594882212572802
2021-11,Suburban,Fire,83,15.53477223795112
2021-11,Suburban,Other,166,15.663836281433104
2021-11,Urban,Accident,1488,15.020283203344253
2021-11,Urban,Cardiac Arrest,610,15.013734358013831
2021-11,Urban,Fire,302,15.203457886662761
2021-11,Urban,Other,586,14.861731265527872
